gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1951966776	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89082873	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Cymbalaria	Cymbalaria muralis		SPECIES	Cymbalaria muralis P.Gaertner, B.Meyer & Scherb.	Cymbalaria muralis		NL	Colijnsplaat - dorp 	Zeeland		2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.6	3.8	5000.0						2014-10-09T00:00:00Z	9	10	2014	8200663	8200663	HUMAN_OBSERVATION		Observations	OBS.89082873				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T17:56:26.585Z		
1951966777	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083444	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Colias	Colias croceus		SPECIES	Colias croceus (Fourcroy, 1785)	Colias croceus		NL	Montfort - Reigersbroek	Limburg		3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.1	5.9	5000.0						2014-10-10T00:00:00Z	10	10	2014	5137612	5137612	HUMAN_OBSERVATION		Observations	OBS.89083444				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T17:22:01.284Z		
1951966778	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083633	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella modularis		SPECIES	Prunella modularis (Linnaeus, 1758)	Prunella modularis		NL	Vlieland - Oost-Vlieland	Friesland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.25	5.05	5000.0						2014-10-10T00:00:00Z	10	10	2014	5231763	5231763	HUMAN_OBSERVATION		Observations	OBS.89083633				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T22:36:46.092Z		
1951966779	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083047	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Vanellus	Vanellus vanellus		SPECIES	Vanellus vanellus (Linnaeus, 1758)	Vanellus vanellus		NL	Texel - Redoute	Noord-Holland		100	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.0	4.8	5000.0						2014-10-10T00:00:00Z	10	10	2014	2480242	2480242	HUMAN_OBSERVATION		Observations	OBS.89083047				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T03:52:29.798Z		
1951966780	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083541	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		NL	Grevelingen - Markenje e.o.	Zuid-Holland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.8	3.95	5000.0						2014-10-10T00:00:00Z	10	10	2014	2475532	2475532	HUMAN_OBSERVATION		Observations	OBS.89083541				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T15:30:30.089Z		
1951966781	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083609	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus philomelos		SPECIES	Turdus philomelos C.L.Brehm, 1831	Turdus philomelos		NL	Middelburg - Stromenwijk	Zeeland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.45	3.6	5000.0						2014-10-10T00:00:00Z	10	10	2014	7901064	7901064	HUMAN_OBSERVATION		Observations	OBS.89083609				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T03:45:57.989Z		
1951966782	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89082978	Animalia	Chordata	Aves	Passeriformes	Hirundinidae	Hirundo	Hirundo rustica		SPECIES	Hirundo rustica Linnaeus, 1758	Hirundo rustica		NL	Ameland - De Hon	Friesland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.45	5.9	5000.0						2014-10-10T00:00:00Z	10	10	2014	9515886	9515886	HUMAN_OBSERVATION		Observations	OBS.89082978				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T21:01:57.317Z		
1951966783	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083480	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Ardea	Ardea alba		SPECIES	Ardea alba Linnaeus, 1758	Ardea alba		NL	Texel - Mokbaai	Noord-Holland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.0	4.75	5000.0						2014-10-10T00:00:00Z	10	10	2014	9752617	9752617	HUMAN_OBSERVATION		Observations	OBS.89083480				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T16:12:17.238Z		
1951966784	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083351	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Erithacus	Erithacus rubecula		SPECIES	Erithacus rubecula (Linnaeus, 1758)	Erithacus rubecula		NL	Heteren	Gelderland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.95	5.75	5000.0						2014-10-08T00:00:00Z	8	10	2014	2492462	2492462	HUMAN_OBSERVATION		Observations	OBS.89083351				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T18:51:05.976Z		
1951966785	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083042	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Arenaria	Arenaria interpres		SPECIES	Arenaria interpres (Linnaeus, 1758)	Arenaria interpres		NL	Texel - Dijkmanshuizen - kijkhut	Noord-Holland		2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.05	4.85	5000.0						2014-10-10T00:00:00Z	10	10	2014	2481776	2481776	HUMAN_OBSERVATION		Observations	OBS.89083042				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T16:19:55.340Z		
